,TITLE,ICON,LENGTH,Notes
88,The Amusing,,,
89,The Artful,,,
90,The Ascetic,,,
91,The Authoritarian,,,
92,The Bigthinking,,,
93,The Boyish,,,
94,The Breezy,,,
95,The Businesslike,,,
96,The Busy,,,
97,The Casual,,,
98,The Cerebral,,,
99,The Chummy,,,
100,The Circumspect,,,
101,The Competitive,,,
102,The Complex,,,
103,The Confidential,,,
104,The Conservative,,,
105,The Contradictory,,,
106,The Crisp,,,
107,The Cute,,,
108,The Deceptive,,,
109,The Determined,,,
110,The Dominating,,,
111,The Dreamy,,,
112,The Driving,,,
113,The Droll,,,
114,The Dry,,,
115,The Earthy,,,
116,The Effeminate,,,
117,The Emotional,,,
118,The Enigmatic,,,
119,The Experimental,,,
120,The Familial,,,
121,The Folksy,,,
122,The Formal,,,
123,The Freewheeling,,,
124,The Frugal,,,
125,The Glamorous,,,
126,The Guileless,,,
127,The Highspirited,,,
128,The Hurried,,,
129,The Hypnotic,,,
130,The Iconoclastic,,,
131,The Idiosyncratic,,,
132,The Impassive,,,
133,The Impersonal,,,
134,The Impressionable,,,
135,The Intense,,,
136,The Invisible,,,
137,The Irreligious,,,
138,The Irreverent,,,
139,The Maternal,,,
140,The Mellow,,,
141,The Modern,,,
142,The Moralistic,,,
143,The Mystical,,,
144,The Neutral,,,
145,The Noncommittal,,,
146,The Noncompetitive,,,
147,The Obedient,,,
148,The Oldfashined,,,
149,The Ordinary,,,
150,The Outspoken,,,
151,The Paternalistic,,,
152,The Physical,,,
153,The Placid,,,
154,The Political,,,
155,The Predictable,,,
156,The Preoccupied,,,
157,The Private,,,
158,The Progressive,,,
159,The Proud,,,
160,The Pure,,,
161,The Questioning,,,
162,The Quiet,,,
163,The Religious,,,
164,The Reserved,,,
165,The Restrained,,,
166,The Retiring,,,
167,The Sarcastic,,,
168,The Self-Conscious,,,
169,The Sensual,,,
170,The Abrasive,,,
171,The Abrupt,,,
172,The Airy,,,
173,The Aloof,,,
174,The Angry,,,
175,The Anxious,,,
176,The Apathetic,,,
177,The Arbitrary,,,
178,The Arrogant,,,
179,The Artificial,,,
180,The Asocial,,,
181,The Assertive,,,
182,The Astigmatic,,,
183,The Barbaric,,,
184,The Bizarre,,,
185,The Bland,,,
186,The Blunt,,,
187,The Brittle,,,
188,The Brutal,,,
189,The Callous,,,
190,The Careless,,,
191,The Cautious,,,
192,The Charmless,,,
193,The Childish,,,
194,The Clumsy,,,
195,The Coarse,,,
196,The Cold,,,
197,The Complacent,,,
198,The Complainant,,,
199,The Compulsive,,,
200,The Conceited,,,
201,The Conformist,,,
202,The Confused,,,
203,The Contemptible,,,
204,The Conventional,,,
205,The Coward,,,
206,The Crafty,,,
207,The Crass,,,
208,The Crazy,,,
209,The Criminal,,,
210,The Critical,,,
211,The Crude,,,
212,The Cruel,,,
213,The Cynical,,,
214,The Decadent,,,
215,The Deceitful,,,
216,The Delicate,,,
217,The Demanding,,,
218,The Dependent,,,
219,The Desperate,,,
220,The Destructive,,,
221,The Devious,,,
222,The Difficult,,,
223,The Dirty,,,
224,The Disconcerting,,,
225,The Discontented,,,
226,The Discouraging,,,
227,The Discourteous,,,
228,The Dishonest,,,
229,The Disloyal,,,
230,The Disobedient,,,
231,The Disorderly,,,
232,The Disorganized,,,
233,The Disrespectful,,,
234,The Disruptive,,,
235,The Dissolute,,,
236,The Dissonant,,,
237,The Distractable,,,
238,The Disturbing,,,
239,The Dogmatic,,,
240,The Domineering,,,
241,The Dull,,,
242,The Egocentric,,,
243,The Enervated,,,
244,The Envious,,,
245,The Erratic,,,
246,The Escapist,,,
247,The Excitable,,,
248,The Expedient,,,
249,The Extravagant,,,
250,The Extreme,,,
251,The Faithless,,,
252,The Fanatical,,,
253,The Fanciful,,,
254,The Villain,,,
